Small unit postcode,Jul 2025 - Installation Quantity,Aug 2025 - Installation Quantity,Sep 2025 - Installation Quantity,Oct 2025 - Installation Quantity,Nov 2025 - Installation Quantity,Dec 2025 - Installation Quantity,Jan 2026 - Installation Quantity,Feb 2026 - Installation Quantity,Mar 2026 - Installation Quantity,Apr 2026 - Installation Quantity,May 2026 - Installation Quantity,Total Installation Quantity
0800,0,0,0,0,0,1,0,0,0,1,0,2
0810,16,24,16,14,22,22,9,16,24,32,1,196
0812,19,8,10,6,14,11,4,9,8,12,0,101
0820,5,6,6,12,16,16,3,4,12,20,1,101
0822,7,5,4,4,6,9,3,4,5,18,2,67
0828,1,2,1,1,5,2,2,3,2,2,0,21
0829,0,0,0,1,0,0,0,0,0,3,0,4
0830,10,8,15,9,8,15,4,6,7,14,2,98
0832,15,9,14,11,6,16,8,15,13,21,0,128
0834,2,2,0,2,1,3,1,1,3,8,0,23
0835,2,1,3,1,4,4,2,3,7,9,1,37
0836,5,5,6,1,5,8,4,6,6,16,0,62
0837,0,1,0,0,0,0,0,0,0,0,0,1
0838,1,0,0,0,0,0,1,2,2,2,0,8
0840,1,4,2,1,1,1,0,1,0,2,0,13
0841,0,0,0,0,0,1,1,0,0,4,0,6
0845,0,0,0,0,2,0,0,0,0,0,0,2
0846,0,0,0,0,1,0,1,0,0,0,0,2
0847,0,0,1,0,0,0,0,0,0,0,0,1
0850,0,0,5,1,2,7,1,0,2,3,0,21
0852,0,1,0,2,1,4,0,1,0,1,0,10
0860,0,0,0,0,0,1,0,0,0,1,0,2
0870,15,8,10,10,6,9,2,3,8,15,0,86
0872,1,0,0,1,6,7,0,1,0,0,0,16
0873,2,3,1,2,4,3,0,0,0,3,0,18
0874,0,0,0,0,0,0,1,0,0,0,0,1
0875,0,1,1,0,0,1,0,0,1,1,0,5
0880,2,1,0,0,0,0,0,0,0,0,0,3
0886,0,0,0,0,0,1,0,0,0,0,0,1
1710,0,0,0,0,0,0,0,0,1,0,0,1
2000,0,1,0,0,1,0,1,0,0,0,0,3
2007,0,0,0,0,0,0,0,0,0,1,1,2
2008,2,0,0,2,0,4,1,0,2,3,1,15
2009,0,0,0,0,1,0,0,0,0,0,0,1
2010,4,3,4,5,0,3,1,3,6,4,1,34
2011,0,0,0,0,1,0,0,0,1,0,0,2
2015,9,4,3,3,5,8,5,5,12,5,2,61
2016,2,0,1,1,2,2,0,1,2,5,0,16
2017,0,0,0,2,1,0,2,1,1,1,0,8
2018,11,7,6,16,12,8,9,12,14,17,4,116
2019,13,8,8,7,9,21,6,8,16,16,2,114
2020,15,6,5,10,12,14,8,9,8,19,2,108
2021,9,3,0,3,10,5,5,2,2,8,1,48
2022,5,5,3,8,7,6,4,12,10,5,1,66
2023,4,7,7,4,8,15,2,8,14,17,2,88
2024,11,4,13,7,8,13,9,3,17,20,4,109
2025,2,1,3,1,3,4,1,3,4,6,0,28
2026,12,10,11,12,13,19,11,15,14,32,3,152
2027,3,1,2,2,2,2,1,0,1,5,0,19
2028,2,2,0,2,3,2,1,2,2,2,0,18
2029,3,5,6,5,9,7,2,1,12,13,0,63
2030,12,6,11,10,25,11,3,8,25,33,3,147
2031,28,11,18,16,18,25,14,17,27,37,7,218
2032,7,7,11,13,10,10,6,17,19,19,5,124
2033,5,6,7,5,10,6,3,7,13,17,2,81
2034,12,8,11,9,13,10,13,22,21,36,2,157
2035,32,28,26,25,31,35,27,38,57,71,14,384
2036,18,28,24,23,41,41,28,35,69,69,8,384
2037,10,3,6,7,11,8,7,7,6,14,4,83
2038,11,5,3,11,11,7,2,7,10,14,4,85
2039,5,6,2,3,8,8,2,6,4,10,3,57
2040,21,16,18,21,22,21,22,21,32,37,12,243
2041,12,7,9,14,13,12,10,7,17,22,5,128
2042,5,12,12,7,11,9,7,8,14,8,3,96
2043,3,5,8,2,1,6,3,3,5,6,0,42
2044,8,3,13,6,8,9,11,9,8,9,4,88
2045,10,5,13,15,16,17,5,16,20,29,5,151
2046,16,18,16,26,33,38,23,33,42,73,6,324
2047,4,10,12,8,10,7,3,13,14,23,3,107
2048,6,6,6,2,7,7,6,10,6,8,3,67
2049,7,10,10,8,6,9,8,13,8,15,1,95
2050,3,0,1,0,2,1,0,2,5,2,0,16
2060,4,2,5,5,1,7,2,2,7,13,1,49
2061,0,0,1,2,1,0,0,0,2,1,0,7
2062,9,7,3,6,4,4,1,7,9,10,4,64
2063,16,4,8,10,15,15,13,8,23,29,0,141
2064,8,5,6,5,9,8,3,5,10,12,3,74
2065,18,13,24,17,18,18,13,33,23,42,2,221
2066,40,32,38,48,42,48,27,47,66,98,13,499
2067,16,10,12,22,29,33,23,20,44,52,4,265
2068,20,22,25,33,24,42,14,38,36,60,8,322
2069,26,12,26,27,39,30,20,29,50,73,5,337
2070,24,12,20,30,26,38,16,24,45,66,2,303
2071,13,14,22,28,36,44,22,37,48,63,4,331
2072,14,9,9,12,14,9,11,11,21,31,2,143
2073,29,29,33,37,33,49,24,38,59,96,2,429
2074,43,41,36,49,65,79,45,56,77,121,7,619
2075,37,26,43,47,46,68,40,66,63,96,8,540
2076,25,23,38,44,61,62,42,74,85,140,4,598
2077,36,33,38,65,53,71,35,62,73,102,14,582
2079,13,17,15,21,19,20,22,21,29,33,6,216
2080,1,4,5,2,2,2,6,4,0,7,1,34
2081,9,11,9,21,17,22,10,11,27,22,5,164
2082,12,13,7,12,19,14,12,16,23,29,6,163
2083,4,1,3,3,4,4,1,5,8,6,1,40
2084,8,3,12,11,7,11,5,12,13,28,2,112
2085,25,17,25,27,27,29,30,33,44,59,7,323
2086,20,19,21,33,26,23,27,29,47,44,12,301
2087,24,19,31,28,30,29,29,32,57,77,5,361
2088,32,16,19,18,28,31,21,25,36,49,6,281
2089,0,4,1,0,6,0,2,2,3,7,1,26
2090,4,8,1,5,10,7,4,4,5,14,1,63
2092,11,8,18,16,17,21,18,14,24,20,4,171
2093,43,28,37,35,42,34,23,44,53,65,10,414
2094,8,4,12,10,5,12,7,7,9,6,1,81
2095,11,9,8,10,10,15,9,18,17,10,0,117
2096,18,12,21,11,18,15,18,22,25,46,13,219
2097,19,13,14,22,21,10,18,20,25,48,7,217
2099,36,24,38,47,36,35,36,35,53,72,12,424
2100,38,28,33,35,32,30,19,46,51,63,10,385
2101,26,16,21,30,21,21,20,24,28,58,8,273
2102,18,10,8,12,12,7,7,10,20,28,2,134
2103,18,12,21,10,19,16,21,25,25,30,10,207
2104,9,1,9,6,5,14,8,11,8,18,1,90
2105,2,2,1,1,3,1,1,2,10,11,1,35
2106,15,7,12,9,15,20,16,18,16,23,3,154
2107,26,20,24,26,20,28,8,20,26,33,8,239
2108,3,6,0,2,5,6,2,2,1,6,3,36
2110,13,6,12,14,16,24,11,18,15,38,2,169
2111,16,4,14,23,26,30,17,27,45,47,6,255
2112,36,37,42,48,38,61,40,57,79,120,10,568
2113,28,23,30,35,39,41,25,30,59,73,7,390
2114,18,12,22,29,35,46,20,36,46,96,11,371
2115,11,8,21,20,22,28,15,10,30,38,2,205
2116,8,9,7,10,10,18,8,6,16,17,4,113
2117,25,21,31,33,53,66,26,45,58,95,4,457
2118,29,39,40,56,63,104,51,63,85,139,4,673
2119,24,14,18,23,39,48,32,39,41,83,2,363
2120,36,32,38,33,43,69,30,33,83,99,9,505
2121,33,47,41,49,69,114,44,78,109,131,9,724
2122,34,28,48,50,57,90,35,61,85,142,10,640
2125,37,40,49,54,85,98,52,72,98,136,8,729
2126,34,34,51,58,75,71,50,54,117,138,17,699
2127,8,4,7,7,1,6,8,12,19,10,3,85
2128,1,1,3,3,3,6,1,1,2,5,0,26
2130,4,6,4,6,4,4,7,5,4,19,1,64
2131,11,11,7,9,15,21,12,14,14,29,4,147
2132,7,6,8,11,13,11,4,20,22,32,6,140
2133,7,7,9,9,10,11,10,22,20,35,2,142
2134,10,7,13,8,13,10,6,9,16,19,3,114
2135,28,19,25,28,35,56,28,36,62,94,8,419
2136,1,7,8,18,16,8,8,14,15,22,1,118
2137,22,15,22,30,32,39,24,29,52,71,6,342
2138,10,7,14,12,17,20,14,18,25,34,1,172
2140,1,4,4,1,8,5,3,7,14,16,0,63
2141,10,16,25,23,31,43,23,31,60,84,10,356
2142,11,6,12,18,12,14,14,18,23,34,3,165
2143,5,6,12,13,16,8,7,17,31,49,2,166
2144,11,13,18,29,33,29,19,34,32,80,4,302
2145,74,69,77,92,121,161,104,156,194,282,24,"1,354"
2146,15,24,32,28,39,36,36,36,53,75,8,382
2147,44,52,43,64,75,99,53,72,130,158,25,815
2148,65,51,73,101,84,120,77,120,145,195,23,"1,054"
2150,2,4,5,5,8,9,5,8,9,9,1,65
2151,23,17,24,32,33,39,24,38,55,86,6,377
2152,10,11,10,14,19,18,13,19,18,49,4,185
2153,105,96,125,148,185,216,152,202,315,417,24,"1,985"
2154,52,67,89,102,132,187,98,160,182,276,17,"1,362"
2155,159,133,199,236,292,348,216,308,513,713,41,"3,158"
2156,37,23,20,25,46,64,24,54,61,83,3,440
2157,11,8,8,12,14,24,8,10,12,26,2,135
2158,18,19,19,24,27,36,16,31,30,70,4,294
2159,11,8,11,10,12,17,7,9,19,30,5,139
2160,16,16,24,22,28,40,26,32,36,86,5,331
2161,21,10,20,20,21,47,28,23,42,75,5,312
2162,6,11,13,34,21,26,24,20,44,73,4,276
2163,9,6,5,5,10,12,11,8,11,26,0,103
2164,14,11,24,18,31,49,20,41,45,53,2,308
2165,15,18,25,34,47,46,34,50,89,108,8,474
2166,37,36,46,60,63,86,57,84,122,152,12,755
2167,14,6,21,17,21,27,22,21,35,62,3,249
2168,27,28,34,47,42,70,45,54,107,142,23,619
2170,82,79,120,129,150,178,121,155,248,360,20,"1,642"
2171,49,25,47,81,71,95,56,86,156,199,20,885
2172,1,6,2,11,6,3,7,14,17,17,3,87
2173,17,17,30,23,28,34,32,36,41,67,8,333
2174,17,11,31,30,28,51,31,44,77,84,8,412
2175,4,2,1,4,8,6,0,4,5,18,1,53
2176,33,51,65,49,72,90,77,87,125,231,12,892
2177,16,10,13,22,30,31,23,34,46,62,5,292
2178,5,4,7,6,9,15,5,9,11,22,0,93
2179,40,49,55,67,73,86,63,114,136,254,16,953
2190,14,14,17,23,27,41,19,28,55,88,10,336
2191,6,4,1,7,8,8,3,6,9,14,1,67
2192,5,2,4,8,11,8,9,10,12,18,2,89
2193,14,15,15,14,15,23,13,15,34,33,4,195
2194,6,13,7,10,14,7,7,13,11,16,0,104
2195,4,4,5,7,6,10,7,13,14,33,2,105
2196,12,5,24,31,30,38,15,33,35,87,4,314
2197,2,6,3,9,9,23,9,10,17,28,1,117
2198,3,6,7,10,14,17,10,15,25,37,2,146
2199,5,10,11,14,20,33,13,21,35,65,2,229
2200,17,16,24,29,35,43,34,29,67,81,5,380
2203,12,6,9,7,6,5,8,8,18,19,1,99
2204,17,16,22,30,17,26,15,18,33,41,11,246
2205,7,8,6,7,9,12,9,12,16,35,2,123
2206,22,14,21,26,32,31,32,22,36,40,11,287
2207,12,16,25,30,33,50,26,31,54,72,5,354
2208,11,6,23,13,18,21,16,14,26,38,5,191
2209,9,10,18,30,30,31,24,25,34,49,1,261
2210,20,32,31,41,54,53,41,46,71,100,11,500
2211,18,17,17,29,26,34,19,40,47,66,8,321
2212,17,21,15,22,27,31,23,31,62,54,9,312
2213,27,41,41,38,57,66,38,34,73,85,10,510
2214,2,6,5,9,11,7,6,8,15,14,2,85
2216,10,16,11,18,22,20,19,24,28,41,3,212
2217,12,18,14,16,34,18,14,17,39,50,4,236
2218,4,5,14,11,18,9,16,12,22,37,0,148
2219,9,6,8,14,21,14,12,15,26,40,3,168
2220,12,18,22,29,36,37,25,38,45,91,5,358
2221,14,16,21,30,30,36,22,33,56,78,8,344
2222,9,5,7,17,19,11,6,18,12,32,5,141
2223,21,23,35,30,43,35,25,36,47,74,7,376
2224,12,11,19,30,31,31,16,12,26,47,2,237
2225,9,3,7,13,12,13,3,8,16,25,4,113
2226,18,12,27,23,21,26,20,23,30,43,9,252
2227,19,12,22,21,19,26,15,22,24,45,5,230
2228,15,12,20,20,26,24,16,30,31,47,5,246
2229,25,29,35,51,31,47,21,35,58,73,9,414
2230,25,17,27,33,33,33,23,39,40,56,10,336
2231,2,3,3,2,2,3,3,0,2,7,2,29
2232,31,28,46,48,39,57,42,61,64,91,14,521
2233,45,23,47,37,33,51,57,66,87,77,12,535
2234,42,46,59,65,90,74,62,89,108,149,16,800
2250,77,56,93,106,114,129,88,122,164,205,37,"1,191"
2251,57,33,54,66,59,63,58,81,79,111,20,681
2256,21,15,35,22,25,16,16,28,28,36,6,248
2257,55,55,45,60,61,68,24,50,68,64,21,571
2258,8,13,8,10,12,10,8,13,16,19,2,119
2259,101,77,94,123,133,134,109,127,149,206,53,"1,306"
2260,38,33,43,39,47,48,25,55,68,84,14,494
2261,86,62,72,78,70,68,75,81,102,140,15,849
2262,15,21,23,19,31,28,17,24,38,45,10,271
2263,21,16,29,20,40,30,21,29,42,50,7,305
2264,32,24,24,38,34,33,26,23,45,45,7,331
2265,23,18,18,26,17,20,13,21,23,39,12,230
2267,2,4,3,8,4,6,1,5,5,10,3,51
2278,6,2,7,4,3,2,7,3,4,6,3,47
2280,35,33,35,60,54,53,42,51,70,91,19,543
2281,22,20,21,27,45,37,18,34,40,40,11,315
2282,24,28,28,41,44,40,26,33,52,68,9,393
2283,42,32,45,43,59,58,41,39,68,85,20,532
2284,28,29,17,22,30,27,24,34,27,57,9,304
2285,45,37,53,49,38,50,48,77,78,123,23,621
2286,7,3,10,7,7,3,6,9,5,15,4,76
2287,50,35,72,55,56,60,52,73,69,115,23,660
2289,25,12,24,23,37,34,26,30,54,60,9,334
2290,38,37,38,48,60,48,57,49,77,99,24,575
2291,30,16,22,29,27,28,14,18,46,46,8,284
2292,2,5,3,3,5,3,4,5,6,9,4,49
2293,2,0,4,1,1,4,2,5,8,8,3,38
2294,0,2,1,0,4,5,1,4,2,7,0,26
2295,14,11,14,20,22,9,18,21,23,27,2,181
2296,2,0,1,2,0,1,2,3,4,7,0,22
2297,1,2,2,3,1,2,1,7,6,8,0,33
2298,9,7,7,5,10,11,12,15,11,29,5,121
2299,18,8,10,11,15,19,16,19,23,35,5,179
2300,10,8,7,9,14,15,3,15,11,15,4,111
2302,0,0,0,0,0,0,0,0,1,0,0,1
2303,21,11,9,16,21,24,13,18,32,27,5,197
2304,21,16,21,14,23,35,18,27,27,31,11,244
2305,20,7,29,33,19,29,28,43,39,48,11,306
2306,0,0,2,0,0,2,0,1,1,2,0,8
2307,2,2,1,4,4,4,6,5,5,4,3,40
2311,2,0,1,1,5,1,1,1,3,2,0,17
2312,2,4,2,1,3,3,0,0,2,9,0,26
2315,27,27,24,30,27,34,19,30,33,31,9,291
2316,12,8,8,14,10,16,11,12,16,10,4,121
2317,13,7,12,10,13,18,14,17,19,16,3,142
2318,27,24,39,26,43,37,38,42,49,72,22,419
2319,8,6,9,19,12,9,12,14,15,14,3,121
2320,92,51,51,80,71,84,57,83,127,146,35,877
2321,40,34,46,44,62,55,34,66,64,79,19,543
2322,54,43,49,51,59,46,49,55,67,95,15,583
2323,34,22,31,31,44,44,33,57,66,59,17,438
2324,53,26,53,55,65,62,33,55,61,89,23,575
2325,57,47,38,49,49,53,41,59,87,74,20,574
2326,10,9,12,13,15,14,11,23,31,24,6,168
2327,9,9,7,12,9,7,6,10,12,13,3,97
2328,2,2,5,4,0,8,3,4,4,12,0,44
2329,3,0,2,1,1,3,3,3,7,5,1,29
2330,47,19,33,43,28,36,36,45,57,77,9,430
2333,25,17,24,16,22,14,17,14,32,28,6,215
2334,13,9,3,6,2,11,5,8,14,24,4,99
2335,25,18,21,14,25,15,18,17,30,43,9,235
2336,5,2,5,3,2,10,6,6,2,2,0,43
2337,10,6,14,11,10,11,10,14,13,16,3,118
2338,2,1,1,2,0,4,0,3,1,3,0,17
2339,0,0,2,1,0,0,0,2,1,0,0,6
2340,60,36,63,70,85,102,36,66,97,110,16,741
2341,3,1,6,4,1,10,4,2,3,1,1,36
2342,1,0,0,0,0,1,0,2,1,2,1,8
2343,4,10,10,9,5,7,4,5,5,14,2,75
2344,0,0,3,0,4,2,1,1,1,2,0,14
2345,1,2,1,0,2,2,0,0,0,3,0,11
2346,2,4,4,4,6,7,1,1,6,9,0,44
2347,2,2,5,1,1,2,0,3,2,3,0,21
2350,32,18,25,40,48,41,24,35,40,66,5,374
2352,8,2,2,1,3,6,1,6,7,6,0,42
2353,1,0,1,0,1,3,0,0,1,6,1,14
2354,4,7,5,2,5,3,2,6,1,9,1,45
2355,0,0,0,1,2,0,0,1,1,2,0,7
2356,0,0,0,0,0,1,0,0,0,0,0,1
2357,1,1,12,4,3,5,1,5,3,10,0,45
2358,9,2,10,9,5,7,6,12,10,10,0,80
2359,1,0,1,2,0,2,1,1,4,1,1,14
2360,8,8,9,21,10,21,6,29,26,27,5,170
2361,1,1,2,5,0,0,0,1,2,7,2,21
2365,3,2,8,9,6,5,0,3,6,9,0,51
2369,0,0,2,1,1,5,0,0,2,2,0,13
2370,5,5,10,10,7,17,5,10,24,20,1,114
2371,0,0,0,2,2,2,2,6,5,8,1,28
2372,5,6,6,7,12,10,7,7,11,15,1,87
2379,0,0,2,0,0,0,1,1,0,0,0,4
2380,7,9,22,13,8,14,5,17,17,23,2,137
2381,2,0,2,0,0,2,1,2,1,2,0,12
2382,3,1,2,1,2,0,2,0,1,0,0,12
2386,0,0,0,1,0,1,0,0,0,0,0,2
2387,0,0,0,0,0,2,0,0,0,0,0,2
2388,5,0,2,0,0,2,0,2,2,0,0,13
2390,16,7,10,12,11,5,12,5,6,15,0,99
2395,0,0,1,0,2,0,1,0,2,0,0,6
2396,0,0,0,0,2,0,0,1,1,0,0,4
2397,0,0,0,0,0,0,1,3,1,0,0,5
2398,0,0,0,0,0,0,0,0,3,0,0,3
2399,1,0,0,0,0,1,1,0,0,2,1,6
2400,6,7,1,7,13,16,13,12,4,12,0,91
2401,1,0,0,0,0,1,0,3,4,0,0,9
2402,1,0,0,3,3,2,4,2,2,5,0,22
2403,1,2,2,1,1,0,0,1,2,1,0,11
2404,0,2,1,1,6,0,2,2,5,7,0,26
2405,0,0,0,0,0,0,0,1,0,3,0,4
2406,0,0,1,0,1,0,1,0,3,3,0,9
2409,0,1,0,0,0,1,1,1,0,0,0,4
2415,2,1,1,1,1,1,1,0,2,1,0,11
2420,9,5,3,11,5,11,9,7,4,9,2,75
2421,7,1,3,3,7,8,3,3,12,9,6,62
2422,5,6,7,6,11,12,7,9,13,25,3,104
2423,8,6,4,10,6,6,5,9,11,11,0,76
2424,0,1,0,2,1,1,1,0,0,2,0,8
2425,2,5,5,5,3,8,2,9,3,5,0,47
2426,0,0,2,1,3,1,0,3,1,2,0,13
2427,7,6,15,9,10,7,3,6,7,11,0,81
2428,21,26,41,28,52,46,18,37,38,54,7,368
2429,10,6,13,9,15,13,13,9,18,33,3,142
2430,41,30,62,50,50,60,35,50,73,73,10,534
2431,10,12,5,20,8,11,3,9,9,12,5,104
2439,6,9,17,12,5,19,9,5,7,14,0,103
2440,18,15,16,24,22,31,20,34,34,49,8,271
2441,5,5,6,7,8,9,7,8,13,13,0,81
2443,8,7,13,16,14,23,9,20,21,24,2,157
2444,69,61,63,63,78,89,56,69,96,94,24,762
2445,16,5,20,13,15,23,20,23,19,14,2,170
2446,17,15,28,29,18,36,9,24,37,51,8,272
2447,14,5,13,18,10,26,10,15,12,28,3,154
2448,15,10,9,12,12,15,12,11,21,28,4,149
2449,3,3,3,3,3,5,1,4,3,9,0,37
2450,80,65,53,71,85,82,48,71,103,119,16,793
2452,25,10,13,16,19,23,14,24,29,40,5,218
2453,8,5,10,3,4,8,3,1,3,9,1,55
2454,20,15,11,17,12,22,3,10,21,39,11,181
2455,10,5,4,9,6,3,5,5,10,16,1,74
2456,17,15,30,36,46,33,24,34,31,41,5,312
2460,33,37,47,45,53,58,27,55,58,105,11,529
2462,2,9,4,7,9,5,5,5,5,6,1,58
2463,10,19,21,36,31,22,17,14,17,37,4,228
2464,9,18,24,22,27,28,11,12,22,28,2,203
2465,0,1,0,0,1,1,0,0,1,0,0,4
2466,5,2,3,4,4,3,1,3,10,7,1,43
2469,4,9,5,10,9,19,11,7,13,25,2,114
2470,40,21,23,28,27,26,13,25,34,54,10,301
2471,5,3,3,6,6,6,3,4,9,6,1,52
2472,10,5,2,5,3,6,4,6,3,7,0,51
2473,7,6,4,10,12,11,8,14,10,15,5,102
2474,18,15,12,15,13,15,6,22,19,35,6,176
2475,0,1,0,1,1,1,0,0,0,2,0,6
2476,0,1,2,0,1,0,0,2,0,1,0,7
2477,27,25,32,26,36,35,27,42,36,41,6,333
2478,58,66,82,76,83,81,66,87,83,115,22,819
2479,22,21,23,23,18,24,9,18,27,45,4,234
2480,145,93,91,99,107,139,73,108,145,182,19,"1,201"
2481,33,28,34,32,36,48,14,25,43,82,9,384
2482,14,15,31,21,21,39,12,24,27,44,8,256
2483,34,31,42,28,26,39,16,28,47,67,13,371
2484,46,31,39,56,47,61,24,43,47,92,12,498
2485,14,12,7,20,21,28,7,14,17,33,4,177
2486,83,57,52,65,61,84,37,55,69,102,19,684
2487,44,25,35,31,40,54,16,32,45,54,7,383
2488,11,6,7,5,9,10,4,9,8,22,0,91
2489,18,16,14,14,21,23,13,22,20,30,3,194
2490,2,0,0,0,0,0,1,2,1,0,0,6
2500,18,24,20,21,34,32,28,39,56,75,12,359
2502,15,13,9,10,10,18,9,11,11,21,6,133
2505,7,7,4,7,10,14,8,9,15,13,2,96
2506,13,7,8,9,8,8,10,11,5,12,2,93
2508,20,9,17,24,23,23,9,17,33,36,19,230
2515,28,21,21,30,37,33,27,32,39,60,14,342
2516,13,7,11,15,12,13,14,21,22,35,7,170
2517,15,8,11,19,28,25,23,29,29,39,5,231
2518,22,13,14,29,30,26,13,29,32,41,2,251
2519,16,18,14,25,22,27,28,33,36,43,12,274
2525,24,15,19,12,23,27,20,41,42,37,6,266
2526,22,21,32,30,30,38,28,32,48,74,10,365
2527,65,48,50,61,41,62,53,65,68,73,17,603
2528,27,17,19,17,30,28,25,26,34,39,13,275
2529,50,32,47,37,55,41,39,49,59,74,21,504
2530,64,47,59,63,74,58,59,89,94,100,14,721
2533,47,34,35,47,54,47,48,46,80,64,10,512
2534,22,16,7,13,13,13,15,12,24,26,5,166
2535,20,18,25,28,21,17,18,21,37,50,2,257
2536,32,30,42,40,36,39,20,38,47,68,7,399
2537,28,16,19,39,35,24,10,23,24,52,4,274
2538,10,4,5,5,6,10,2,5,8,14,2,71
2539,48,41,30,39,41,42,23,30,45,59,8,406
2540,122,101,114,98,95,107,68,113,132,155,41,"1,146"
2541,59,45,28,20,47,36,32,52,59,67,20,465
2545,0,1,5,4,5,6,2,3,4,6,3,39
2546,16,5,23,25,19,21,9,22,23,37,4,204
2548,10,5,15,8,22,21,10,11,17,25,5,149
2549,5,3,6,7,1,9,6,6,11,6,2,62
2550,27,23,26,27,26,42,18,34,29,58,5,315
2551,7,5,2,4,1,11,6,6,5,6,1,54
2556,0,0,2,2,3,4,1,1,1,4,0,18
2557,47,25,35,55,62,69,39,66,108,164,18,688
2558,15,6,13,21,18,13,14,27,34,35,7,203
2559,2,0,1,3,7,14,0,9,14,25,1,76
2560,86,80,129,114,103,126,115,169,216,297,34,"1,469"
2563,4,2,3,0,11,6,4,11,5,22,1,69
2564,8,15,16,19,26,22,11,25,27,52,5,226
2565,45,36,52,78,75,103,58,83,118,217,10,875
2566,48,30,61,45,44,55,44,61,89,126,9,612
2567,66,57,68,98,78,76,75,83,128,175,24,928
2568,5,1,1,6,4,8,2,5,8,16,2,58
2569,4,2,6,2,2,10,3,6,4,6,0,45
2570,113,77,98,128,116,179,101,159,192,306,46,"1,515"
2571,25,14,31,32,30,39,21,45,50,74,7,368
2572,4,4,8,12,15,15,6,12,15,22,2,115
2573,5,8,14,7,2,8,10,10,15,13,2,94
2574,8,6,6,14,9,10,4,15,16,23,2,113
2575,60,33,34,39,31,44,34,42,46,56,13,432
2576,45,29,32,34,41,32,12,34,37,42,12,350
2577,64,32,51,56,41,42,35,36,43,71,10,481
2578,9,7,8,18,11,12,7,4,12,15,3,106
2579,14,11,14,15,10,23,15,15,13,25,2,157
2580,54,30,44,58,48,54,31,47,58,94,9,527
