Small unit postcode,Jul 2025 - Installation Quantity,Aug 2025 - Installation Quantity,Sep 2025 - Installation Quantity,Oct 2025 - Installation Quantity,Nov 2025 - Installation Quantity,Dec 2025 - Installation Quantity,Jan 2026 - Installation Quantity,Feb 2026 - Installation Quantity,Mar 2026 - Installation Quantity,Apr 2026 - Installation Quantity,May 2026 - Installation Quantity,Total Installation Quantity
2581,9,8,2,6,7,10,3,6,9,11,3,74
2582,37,26,36,28,26,35,25,41,49,76,14,393
2583,12,6,17,11,12,9,7,11,18,17,0,120
2584,1,5,1,3,1,0,0,0,4,3,0,18
2585,2,0,1,1,0,0,0,1,0,1,0,6
2586,4,6,13,8,13,10,3,9,5,17,0,88
2587,2,13,10,13,15,15,0,6,6,9,2,91
2588,2,0,0,0,1,0,0,2,2,1,1,9
2590,12,11,12,10,7,11,6,9,12,17,1,108
2594,4,12,12,13,20,15,7,15,19,29,2,148
2600,8,4,7,10,13,21,8,12,14,24,1,122
2602,39,30,41,34,44,51,38,47,54,92,13,483
2603,13,14,13,11,19,20,5,16,20,28,3,162
2604,5,7,7,14,14,11,9,8,8,14,1,98
2605,12,11,15,20,14,17,13,14,27,39,6,188
2606,10,10,13,9,10,16,10,15,16,21,1,131
2607,19,14,22,23,21,30,23,24,34,43,4,257
2609,1,2,0,1,0,0,0,2,0,3,0,9
2611,63,73,70,84,76,108,60,85,128,183,10,940
2612,10,3,7,13,10,15,8,8,14,20,2,110
2614,39,28,20,41,30,38,25,36,44,68,4,373
2615,68,55,72,72,73,92,54,94,111,141,14,846
2617,55,34,33,47,32,44,24,48,52,94,12,475
2618,0,2,3,5,5,1,0,6,2,7,0,31
2619,19,13,17,13,20,18,14,29,33,35,4,215
2620,82,66,67,109,86,145,76,117,130,188,29,"1,095"
2621,23,12,17,33,17,19,16,16,27,50,9,239
2622,9,23,14,19,13,25,8,17,21,19,4,172
2623,0,0,0,0,0,2,0,1,0,0,0,3
2624,0,0,0,0,0,0,1,0,0,0,0,1
2626,2,0,0,0,1,1,2,3,1,4,0,14
2627,5,5,13,8,13,18,7,9,21,15,1,115
2628,0,4,1,4,2,1,5,3,4,6,0,30
2629,0,2,0,0,1,2,1,0,2,4,1,13
2630,9,6,7,11,11,10,14,16,16,12,3,115
2631,0,0,0,1,0,0,2,1,1,2,0,7
2632,1,1,1,0,2,6,2,0,3,5,1,22
2633,0,0,0,0,0,0,0,0,4,0,0,4
2640,87,60,65,76,77,125,43,70,127,156,23,909
2641,23,13,23,27,19,28,7,24,28,59,5,256
2642,11,18,23,12,19,24,10,16,18,28,1,180
2643,11,3,6,5,3,9,1,9,3,3,2,55
2644,11,6,9,8,8,7,6,6,7,3,0,71
2645,0,1,1,0,1,0,0,4,0,1,0,8
2646,22,8,6,11,13,14,7,10,9,17,2,119
2647,5,2,8,3,8,5,3,4,5,6,0,49
2648,1,1,4,7,7,4,2,2,1,3,0,32
2650,119,90,85,79,86,98,54,101,115,123,18,968
2651,7,3,6,2,2,0,1,2,3,1,0,27
2652,9,8,6,9,9,7,1,5,15,19,2,90
2653,2,1,3,5,1,5,1,2,2,2,2,26
2655,7,1,1,5,9,4,1,2,2,3,0,35
2656,5,2,0,0,6,3,0,1,1,3,1,22
2658,2,6,5,4,3,3,2,1,5,6,0,37
2659,5,5,2,1,2,4,3,4,4,5,0,35
2660,2,6,5,4,0,4,2,3,2,6,1,35
2661,0,0,0,0,0,0,1,0,0,0,0,1
2663,5,7,5,6,7,4,2,5,4,10,1,56
2665,1,3,4,0,2,3,0,0,3,4,0,20
2666,5,7,13,10,7,14,5,6,12,8,3,90
2668,0,1,0,1,1,0,0,0,1,0,2,6
2669,2,5,4,2,5,1,1,2,5,2,1,30
2671,6,18,9,3,11,3,2,3,4,5,1,65
2672,7,2,0,4,3,3,2,3,4,4,0,32
2675,1,1,0,0,4,2,4,2,5,8,2,29
2680,18,17,38,24,35,62,45,23,52,108,4,426
2681,1,4,0,0,1,4,3,2,4,4,1,24
2700,3,7,5,9,5,20,5,12,17,15,1,99
2701,4,5,8,4,3,5,4,4,7,8,0,52
2702,6,2,0,1,2,4,0,3,1,2,0,21
2703,3,1,1,1,3,3,1,3,1,1,2,20
2705,15,17,10,25,16,22,34,10,29,44,7,229
2706,1,3,5,4,3,2,1,1,2,2,1,25
2707,1,2,2,2,0,1,1,0,7,5,0,21
2710,15,13,17,16,10,20,9,4,23,45,3,175
2711,0,6,8,4,11,8,0,2,10,5,2,56
2712,2,0,4,7,7,4,0,4,0,1,2,31
2713,12,5,3,8,2,3,1,3,3,9,1,50
2714,8,4,5,5,8,4,2,5,11,5,1,58
2715,0,0,1,3,1,0,0,0,0,1,0,6
2716,5,7,5,0,4,3,2,0,1,5,0,32
2717,1,0,0,0,3,0,0,0,2,0,0,6
2720,12,13,17,16,17,14,10,12,11,17,3,142
2721,0,1,0,0,0,0,0,0,2,0,0,3
2722,1,4,7,5,14,9,5,2,4,13,1,65
2725,1,2,2,0,2,1,0,0,1,0,0,9
2726,0,0,0,0,0,0,0,0,0,3,0,3
2727,0,1,0,0,1,1,0,0,0,1,0,4
2729,4,3,4,5,7,6,3,6,1,4,0,43
2730,1,2,1,0,5,0,1,0,2,1,1,14
2731,12,10,9,8,16,13,10,9,31,21,5,144
2732,3,5,4,5,7,6,1,4,3,3,1,42
2733,0,0,0,0,0,2,0,0,1,0,0,3
2734,1,2,0,1,0,2,0,0,2,2,0,10
2735,2,0,0,0,0,0,0,0,1,0,0,3
2736,0,0,0,0,0,0,0,1,0,0,0,1
2737,0,0,0,0,1,0,0,1,1,1,0,4
2738,0,1,1,4,1,7,1,2,1,15,0,33
2739,0,1,0,0,2,2,2,2,0,5,0,14
2745,63,40,51,59,59,82,71,102,107,172,17,823
2747,82,70,82,90,93,123,78,111,171,235,26,"1,161"
2748,1,2,3,0,3,3,2,3,11,9,0,37
2749,23,23,19,32,31,25,23,44,46,56,14,336
2750,64,54,57,73,63,101,64,78,92,106,22,774
2752,12,7,18,14,14,10,19,13,17,33,3,160
2753,31,28,18,28,31,41,22,29,42,71,3,344
2754,10,10,8,14,22,22,20,17,27,38,6,194
2756,52,44,60,64,66,75,43,65,81,115,13,678
2757,2,1,1,2,0,5,2,2,3,5,0,23
2758,9,12,21,20,29,20,14,22,43,67,9,266
2759,51,37,35,45,57,72,42,50,83,85,24,581
2760,38,22,29,40,49,51,34,49,63,72,12,459
2761,50,45,67,73,85,102,62,73,110,201,24,892
2762,44,42,53,76,69,98,64,107,148,235,9,945
2763,37,43,54,60,88,131,88,107,172,256,14,"1,050"
2765,126,144,206,246,256,392,242,330,554,923,46,"3,465"
2766,18,21,21,24,19,38,24,19,43,38,4,269
2767,19,25,35,40,36,54,49,53,88,123,13,535
2768,42,47,54,76,84,127,72,121,161,237,11,"1,032"
2769,41,42,51,63,68,102,48,65,133,225,8,846
2770,47,65,54,45,66,83,43,59,81,133,22,698
2773,17,5,21,18,14,16,21,17,22,37,8,196
2774,30,32,27,33,26,33,30,26,40,50,10,337
2775,4,0,6,3,1,2,4,3,4,4,2,33
2776,8,6,11,9,9,12,13,8,14,18,5,113
2777,48,36,24,44,41,61,32,35,58,63,18,460
2778,7,3,4,3,10,3,7,4,9,7,0,57
2779,20,8,6,9,9,6,4,10,11,15,1,99
2780,50,25,24,27,25,30,26,32,34,52,9,334
2782,17,21,18,16,21,17,8,18,24,26,5,191
2783,7,6,4,9,5,10,3,2,7,9,7,69
2784,1,1,1,4,3,3,3,2,1,8,0,27
2785,19,13,8,12,20,18,13,9,27,19,4,162
2786,5,1,3,4,5,8,3,3,5,13,1,51
2787,3,6,6,3,10,4,3,10,10,14,2,71
2790,26,21,28,15,32,20,21,36,30,35,2,266
2791,0,1,0,0,2,0,0,0,1,1,0,5
2792,0,0,1,0,1,0,0,4,3,2,0,11
2793,2,0,1,1,2,1,0,7,3,4,1,22
2794,18,22,8,13,19,19,3,13,34,27,3,179
2795,71,64,85,74,103,109,57,89,117,114,23,906
2797,0,0,0,0,0,0,1,1,1,0,1,4
2798,2,3,4,8,4,10,4,9,8,9,3,64
2799,9,10,8,9,13,9,4,9,9,7,2,89
2800,62,82,65,86,95,112,69,102,107,143,22,945
2803,0,0,0,0,0,3,0,1,1,1,0,6
2804,7,5,8,7,3,1,5,2,14,5,2,59
2805,0,0,1,0,0,0,0,1,0,1,0,3
2806,3,1,1,0,1,1,0,1,0,0,1,9
2807,0,0,0,2,0,3,1,2,0,0,0,8
2808,0,1,1,1,0,0,0,1,0,0,0,4
2809,0,0,0,1,1,1,0,0,2,0,1,6
2810,4,4,5,12,4,4,3,6,3,13,0,58
2817,0,0,0,0,0,0,0,0,2,0,0,2
2818,0,1,1,4,4,1,0,1,0,3,0,15
2820,16,12,11,19,15,15,4,17,15,13,0,137
2821,6,5,3,1,5,3,2,5,8,11,2,51
2822,1,1,2,0,2,2,0,0,0,2,0,10
2823,1,1,2,2,2,2,0,3,6,7,0,26
2824,4,1,0,4,2,4,3,1,9,5,0,33
2825,1,0,1,7,3,3,2,10,4,8,0,39
2826,0,0,0,2,0,0,0,0,0,0,0,2
2827,6,3,6,5,4,8,2,5,4,17,2,62
2828,2,7,1,5,0,1,0,1,5,1,0,23
2829,0,0,0,2,6,8,1,3,10,3,0,33
2830,48,46,51,70,65,77,23,63,69,105,10,627
2831,0,0,4,3,4,10,1,2,4,7,1,36
2832,0,0,1,5,3,9,0,2,3,1,0,24
2833,0,1,1,2,0,0,0,0,0,0,0,4
2834,0,5,0,2,3,0,0,0,0,2,0,12
2835,6,5,7,16,14,0,0,1,2,3,1,55
2836,0,1,2,0,0,0,0,0,1,1,0,5
2839,0,3,0,0,0,0,0,0,0,2,0,5
2840,0,5,3,2,0,0,0,4,2,2,0,18
2842,0,1,1,4,1,1,1,0,3,2,0,14
2843,0,0,0,2,3,6,0,0,4,8,0,23
2844,2,3,4,5,5,8,0,1,4,5,0,37
2845,5,2,3,2,4,3,1,3,3,5,0,31
2846,0,1,1,2,0,3,0,0,1,2,0,10
2847,4,10,8,10,9,5,8,5,5,6,1,71
2848,2,0,3,3,3,0,0,0,4,1,0,16
2849,3,7,4,3,2,6,2,2,5,6,1,41
2850,35,23,26,47,26,35,23,19,29,62,7,332
2852,9,2,4,3,5,6,4,2,2,6,2,45
2864,1,0,4,2,2,3,1,0,4,5,0,22
2865,0,1,2,0,0,2,1,1,2,1,1,11
2866,4,8,4,1,7,10,4,4,13,3,0,58
2867,1,1,0,0,0,2,0,0,3,1,0,8
2868,0,4,0,2,0,3,0,0,0,0,0,9
2869,3,1,2,5,5,7,2,3,3,2,1,34
2870,16,15,17,18,20,15,9,20,18,28,0,176
2871,8,5,7,6,10,12,5,3,17,19,1,93
2873,0,1,0,0,0,1,0,0,1,0,0,3
2874,2,0,0,0,0,0,1,0,1,0,0,4
2875,0,0,0,5,4,1,0,0,1,1,0,12
2876,1,0,0,2,0,0,0,0,0,2,0,5
2877,6,7,7,3,8,9,0,3,3,7,1,54
2878,0,0,1,0,0,0,0,0,1,0,0,2
2879,3,1,3,1,2,3,0,0,0,1,0,14
2880,39,30,23,22,32,57,28,39,41,69,8,388
2899,37,6,11,13,17,10,8,12,6,12,0,132
2900,2,1,1,2,0,4,2,1,1,5,2,21
2902,34,17,27,23,27,37,20,26,26,36,5,278
2903,18,9,11,12,22,20,8,20,18,25,1,164
2904,17,24,9,22,18,25,13,20,23,44,10,225
2905,45,33,33,43,42,47,20,49,50,55,14,431
2906,23,21,35,30,32,27,25,25,25,43,6,292
2911,9,6,7,16,8,10,9,5,16,18,3,107
2912,4,3,7,5,9,11,8,6,13,17,0,83
2913,60,53,68,59,71,114,50,72,111,164,9,831
2914,41,35,56,66,70,88,38,67,90,139,9,699
3002,0,0,1,2,0,1,0,0,3,0,0,7
3003,0,0,0,3,0,3,2,2,1,1,0,12
3006,0,0,0,0,1,0,0,0,0,0,0,1
3008,1,0,0,0,2,0,1,0,0,2,0,6
3011,7,13,10,8,9,7,9,13,10,11,3,100
3012,16,11,16,16,17,24,18,18,19,20,1,176
3013,8,14,10,13,15,19,4,16,18,16,0,133
3015,8,11,16,13,13,13,11,15,18,20,2,140
3016,11,7,10,13,9,14,5,16,16,20,0,121
3018,11,13,16,8,17,23,6,11,9,12,1,127
3019,9,6,6,4,11,4,6,11,10,7,0,74
3020,23,16,26,37,31,49,19,46,45,43,0,335
3021,29,20,31,40,45,34,29,29,35,43,3,338
3022,1,0,3,2,1,0,1,0,0,1,1,10
3023,20,43,54,63,71,111,43,87,92,116,2,702
3024,51,34,45,63,73,107,48,98,130,129,3,781
3025,9,6,10,9,9,12,5,7,12,5,2,86
3026,6,10,9,13,13,14,8,17,8,12,0,110
3027,9,12,13,17,28,25,12,22,31,40,0,209
3028,22,17,19,26,25,29,24,29,28,35,2,256
3029,135,128,207,234,312,418,158,310,471,520,12,"2,905"
3030,105,118,178,163,244,297,160,204,385,360,4,"2,218"
3031,5,6,5,6,8,6,1,13,6,8,0,64
3032,8,15,14,19,14,24,18,23,29,16,3,183
3033,7,5,10,13,7,15,10,11,17,12,1,108
3034,5,6,9,8,11,15,6,16,11,8,1,96
3036,5,3,1,8,4,8,0,6,11,8,0,54
3037,28,39,44,48,60,60,30,41,81,92,1,524
3038,11,33,22,28,25,33,17,29,43,37,5,283
3039,5,10,5,4,8,15,3,4,13,9,1,77
3040,14,11,14,20,12,24,14,15,21,19,0,164
3041,7,7,9,3,9,14,7,10,13,23,0,102
3042,6,6,6,14,16,11,5,8,9,11,0,92
3043,14,8,8,15,10,12,12,11,12,12,1,115
3044,24,10,13,24,18,27,16,20,16,19,0,187
3046,6,12,15,22,23,16,13,17,17,25,0,166
3047,3,4,6,7,12,16,9,9,8,11,0,85
3048,5,5,10,17,15,23,10,9,15,17,2,128
3049,8,6,5,10,5,12,7,7,9,9,2,80
3051,3,0,2,3,2,1,2,3,6,3,0,25
3052,2,3,2,1,4,1,1,2,1,3,0,20
3053,3,1,2,2,0,2,1,1,2,0,1,15
3054,3,4,3,3,4,0,5,4,3,1,1,31
3055,10,8,3,8,11,8,10,9,9,10,0,86
3056,9,11,8,15,8,14,4,13,19,8,5,114
3057,2,6,3,2,5,13,4,5,7,8,1,56
3058,22,17,30,26,22,43,17,22,36,26,3,264
3059,16,14,26,42,28,59,27,37,39,67,1,356
3060,3,6,6,7,10,12,7,4,12,12,0,79
3061,2,5,0,3,2,9,0,2,6,5,0,34
3062,0,1,0,0,1,0,0,0,0,1,0,3
3063,0,1,0,1,0,1,0,2,0,1,0,6
3064,71,79,114,169,168,255,106,206,247,324,4,"1,743"
3065,2,1,0,5,1,3,1,2,3,1,0,19
3066,2,0,2,2,1,0,2,0,1,1,0,11
3067,3,4,0,1,3,2,2,0,3,2,0,20
3068,19,8,8,15,6,15,8,13,15,15,1,123
3070,15,6,12,21,18,19,16,24,22,23,0,176
3071,11,7,8,11,14,9,6,11,14,15,3,109
3072,25,18,14,30,17,26,10,21,21,29,1,212
3073,20,22,26,27,34,30,21,29,39,39,3,290
3074,11,10,15,8,16,16,8,13,13,15,2,127
3075,11,4,10,21,15,19,15,14,24,22,3,158
3076,12,12,24,36,34,52,28,31,48,45,3,325
3078,6,10,8,10,11,19,8,16,20,13,2,123
3079,9,13,15,13,15,25,9,12,19,23,0,153
3081,2,6,3,14,7,12,2,12,14,2,0,74
3082,22,13,19,30,36,49,17,30,34,42,0,292
3083,20,16,20,30,35,43,25,35,32,38,0,294
3084,19,26,25,32,12,32,18,42,47,38,4,295
3085,16,7,12,20,9,19,6,12,21,25,0,147
3087,9,4,2,8,9,8,7,10,11,18,1,87
3088,34,19,23,26,27,44,25,32,51,39,1,321
3089,16,10,13,15,16,17,5,20,27,27,0,166
3090,3,3,3,6,2,3,1,5,6,10,0,42
3091,0,2,4,2,3,5,0,1,3,1,0,21
3093,6,5,4,5,3,8,5,5,8,10,1,60
3094,10,10,6,12,10,12,6,13,19,8,2,108
3095,32,30,28,38,36,34,22,47,69,67,3,406
3096,2,3,2,3,6,1,0,4,2,6,0,29
3097,2,2,3,5,2,8,3,1,3,2,0,31
3099,5,6,2,9,3,6,3,5,9,6,0,54
3101,21,13,20,22,15,26,13,19,35,30,0,214
3102,4,5,8,4,9,8,6,6,3,14,0,67
3103,9,13,18,12,20,21,13,15,34,38,0,193
3104,20,21,22,30,38,41,17,27,47,63,1,327
3105,9,7,13,10,8,21,7,13,10,18,2,118
3106,26,19,19,31,27,43,24,31,52,49,3,324
3107,9,12,5,15,24,24,9,18,22,31,0,169
3108,12,16,19,36,29,46,16,27,50,58,3,312
3109,27,27,40,43,36,60,18,43,47,85,1,427
3111,15,17,17,24,25,29,9,22,36,32,1,227
3113,13,9,14,14,10,29,9,21,15,21,2,157
3114,8,6,6,9,7,9,4,7,7,16,0,79
3115,6,5,7,5,5,7,4,9,10,9,0,67
3116,11,7,11,9,21,21,10,16,16,21,0,143
3121,6,8,7,12,10,10,2,12,10,7,2,86
3122,5,10,7,11,14,8,5,8,11,18,0,97
3123,8,7,6,12,7,17,3,7,7,17,1,92
3124,32,23,13,18,21,22,23,20,25,39,5,241
3125,12,13,8,11,21,37,15,11,22,26,2,178
3126,7,4,10,6,16,9,9,13,8,21,0,103
3127,18,18,23,25,18,21,13,20,31,41,2,230
3128,15,8,17,16,14,30,16,18,27,26,1,188
3129,16,8,15,16,22,27,19,23,31,41,3,221
3130,36,29,42,47,38,49,38,57,63,72,7,478
3131,36,17,24,29,21,39,17,30,40,43,3,299
3132,14,7,14,21,26,21,14,29,18,34,2,200
3133,30,36,33,32,40,52,30,54,49,84,3,443
3134,38,38,44,42,39,57,27,41,54,46,5,431
3135,23,17,22,29,35,32,24,38,44,38,3,305
3136,52,31,33,32,50,63,41,64,71,85,2,524
3137,19,21,9,10,9,19,13,14,24,23,2,163
3138,21,18,21,21,22,37,21,18,35,23,5,242
3139,13,12,12,18,14,17,14,17,17,21,0,155
3140,18,18,19,22,16,34,19,20,22,39,1,228
3141,2,1,2,3,2,9,2,8,3,4,0,36
3142,2,6,1,11,6,5,4,6,6,4,2,53
3143,3,1,4,1,2,0,1,2,2,4,0,20
3144,10,5,5,6,6,9,4,1,7,8,0,61
3145,30,13,18,19,24,18,13,19,28,27,1,210
3146,33,17,20,28,32,31,15,25,36,49,3,289
3147,24,10,19,25,24,19,7,17,26,29,1,201
3148,6,2,9,9,13,11,7,7,18,14,2,98
3149,53,38,41,59,58,104,48,68,72,97,3,641
3150,85,70,94,126,102,178,76,137,212,212,5,"1,297"
3151,6,16,11,10,13,25,10,15,28,29,1,164
3152,48,52,48,66,69,89,35,62,123,132,5,729
3153,20,26,28,22,25,35,18,16,45,37,0,272
3154,5,5,8,7,6,4,0,6,15,14,0,70
3155,25,18,20,41,22,24,22,33,34,37,3,279
3156,50,39,49,59,60,50,40,57,68,72,2,546
3158,6,9,11,10,8,8,9,14,17,8,2,102
3159,3,4,0,2,1,3,2,5,5,4,0,29
3160,12,7,7,13,14,14,9,14,18,15,1,124
3161,10,6,7,6,7,11,8,16,11,18,1,101
3162,10,13,13,12,17,21,7,16,30,18,2,159
3163,20,16,9,18,22,32,14,27,32,25,4,219
3165,21,8,28,28,46,47,23,28,45,43,3,320
3166,17,15,23,22,14,38,17,19,35,53,4,257
3167,7,8,15,16,11,20,9,21,24,19,3,153
3168,5,8,10,12,12,15,9,15,9,20,0,115
3169,12,14,21,21,18,26,19,21,31,28,2,213
3170,18,25,16,29,46,49,22,26,44,43,2,320
3171,17,14,11,26,28,25,14,17,31,28,0,211
3172,19,14,25,26,36,28,27,31,30,33,1,270
3173,31,30,39,45,53,82,36,54,94,94,2,560
3174,22,21,31,31,29,35,26,33,31,47,2,308
3175,23,23,29,37,40,80,39,47,60,51,1,430
3177,6,7,6,10,8,16,8,6,7,5,0,79
3178,39,48,48,70,66,89,39,52,91,80,2,624
3179,11,10,14,14,15,15,11,11,16,14,0,131
3180,11,10,15,15,9,15,10,11,23,18,1,138
3181,2,2,6,6,2,5,1,2,3,6,1,36
3182,2,5,2,5,5,8,3,2,3,7,0,42
3183,3,3,8,8,5,6,3,5,10,2,0,53
3184,10,4,6,9,4,13,4,6,5,6,2,69
3185,8,10,8,9,10,13,6,13,15,10,1,103
3186,20,11,17,19,19,29,16,17,25,39,2,214
3187,16,11,11,11,23,15,11,21,22,20,4,165
3188,13,19,23,13,21,17,14,18,18,29,1,186
3189,6,3,2,6,5,10,3,10,8,6,0,59
3190,8,9,5,8,12,9,8,8,12,14,0,93
3191,12,6,16,9,10,11,6,5,13,14,0,102
3192,18,17,12,27,22,24,18,18,33,32,0,221
3193,34,19,23,39,19,32,30,36,31,23,2,288
3194,8,7,12,13,12,11,10,11,9,27,1,121
3195,39,36,35,36,51,59,26,32,61,50,4,429
3196,16,17,17,27,15,23,10,20,32,35,2,214
3197,4,8,18,14,15,18,5,12,14,11,0,119
3198,22,8,13,15,18,18,7,8,13,17,1,140
3199,35,31,35,44,48,61,41,39,71,73,4,482
3200,0,2,3,5,4,3,2,0,2,5,0,26
3201,19,15,18,17,22,24,15,16,26,30,1,203
3202,2,1,5,1,1,5,0,1,4,5,1,26
3204,25,23,22,32,32,43,22,24,44,52,5,324
3205,4,0,1,3,0,2,2,1,0,1,0,14
3206,1,7,3,3,2,6,2,2,6,5,0,37
3207,7,3,3,4,4,8,4,5,15,7,0,60
3211,1,1,2,2,1,1,1,1,1,4,1,16
3212,20,25,26,29,18,32,14,24,18,26,1,233
3213,9,2,11,13,6,9,6,6,3,9,0,74
3214,9,18,13,11,14,17,13,13,8,14,0,130
3215,11,11,13,15,20,21,8,12,17,12,3,143
3216,50,33,46,72,68,51,32,67,65,42,7,533
3217,21,22,25,29,32,36,20,32,29,38,4,288
3218,22,12,10,19,9,17,9,11,8,20,1,138
3219,19,7,15,19,19,11,14,9,7,21,1,142
3220,15,14,8,13,15,21,12,13,18,26,0,155
3221,1,1,2,0,1,2,3,0,2,0,0,12
3222,42,21,28,31,26,34,21,19,32,30,3,287
3223,21,10,19,23,18,26,13,19,20,19,4,192
3224,11,12,18,16,20,21,14,15,12,16,0,155
3225,12,7,15,12,14,17,10,11,21,13,2,134
3226,26,11,23,18,26,28,18,27,35,25,2,239
3227,3,10,8,14,13,16,4,7,11,8,0,94
3228,40,17,40,32,39,45,15,41,35,38,0,342
3230,8,5,9,11,5,9,5,10,6,6,0,74
3231,3,6,5,5,3,7,5,2,5,10,0,51
3232,1,1,0,5,3,2,1,2,3,1,0,19
3233,5,1,4,2,7,4,3,5,8,4,0,43
3234,0,1,1,1,2,0,1,1,0,0,0,7
3235,3,1,0,3,1,3,1,1,1,1,1,16
3236,0,0,1,0,1,1,0,0,0,1,0,4
3237,1,0,0,0,0,3,0,0,0,1,0,5
3238,0,0,1,1,0,0,0,0,1,0,0,3
3239,0,0,0,0,0,0,0,0,0,1,0,1
3240,7,1,3,5,5,3,2,4,5,4,0,39
3241,3,2,4,6,4,1,7,5,3,7,0,42
3242,0,3,0,2,2,6,0,2,2,3,0,20
3243,0,0,0,0,0,0,0,0,3,1,1,5
3249,4,1,1,8,0,5,3,7,6,1,0,36
3250,6,5,11,3,17,9,1,9,7,10,0,78
3251,1,0,0,0,1,0,0,0,0,0,0,2
3254,0,0,0,0,1,0,0,0,0,0,0,1
3260,0,5,3,1,1,2,6,3,2,3,0,26
3264,0,0,4,5,4,4,2,0,0,0,0,19
3265,2,1,2,1,0,7,0,3,0,0,0,16
3266,3,1,2,2,2,6,6,2,0,2,0,26
3267,0,0,0,0,0,0,1,1,0,0,0,2
3268,1,0,1,4,0,8,0,1,1,3,0,19
3269,1,0,1,0,0,1,1,1,1,0,0,6
3270,0,0,0,0,0,2,1,0,0,2,0,5
3271,0,0,1,0,1,0,0,0,0,0,0,2
3272,1,1,1,3,2,0,0,0,0,1,0,9
3273,0,0,0,1,0,0,0,0,0,0,0,1
3274,1,2,0,0,1,3,1,0,0,0,0,8
3275,1,0,0,0,1,0,0,0,0,0,0,2
3277,3,2,3,1,1,4,0,1,1,2,0,18
3278,1,0,0,0,0,3,0,0,0,0,0,4
3279,2,0,0,1,0,0,0,0,2,0,0,5
3280,17,20,14,23,37,40,11,27,18,31,0,238
3281,0,4,0,4,2,4,1,0,4,4,0,23
3282,3,3,1,6,7,5,1,4,6,4,1,41
3283,3,2,1,0,2,4,3,3,3,1,0,22
3284,3,3,1,1,8,5,3,2,3,2,0,31
3285,1,0,0,1,5,2,2,3,0,0,0,14
3286,1,0,0,0,0,1,0,0,0,0,0,2
3287,1,0,0,0,0,1,0,1,0,0,0,3
3289,0,0,0,1,0,1,1,0,0,0,0,3
3294,1,2,1,3,1,1,1,0,0,2,0,12
3300,7,6,1,6,6,4,1,3,3,6,1,44
3301,2,1,1,0,2,0,0,1,0,1,0,8
3304,0,2,2,1,0,0,1,2,2,2,0,12
3305,11,8,2,6,9,5,10,6,7,5,0,69
3310,0,0,0,1,0,0,0,0,0,0,0,1
3311,1,0,1,1,1,0,0,3,2,0,0,9
3312,1,0,0,0,2,0,0,0,0,0,0,3
3314,1,0,0,1,0,0,0,0,0,3,0,5
3315,1,1,0,1,1,3,0,0,0,0,0,7
3318,2,1,0,1,0,1,0,3,0,0,0,8
3321,1,4,4,3,2,1,6,4,3,1,1,30
3322,0,0,0,0,0,0,1,0,0,4,0,5
3323,0,0,0,0,1,0,0,0,0,0,0,1
3324,0,0,0,0,1,0,0,0,1,0,0,2
3325,2,0,0,1,1,0,0,0,0,0,0,4
3328,1,3,3,5,8,2,3,6,6,6,1,44
3329,1,0,0,0,0,1,0,1,0,0,0,3
3330,0,0,0,0,0,1,0,0,0,0,0,1
3331,7,9,9,15,4,13,3,16,18,18,0,112
3332,2,1,1,2,0,2,2,0,2,1,0,13
3333,2,0,2,0,0,2,0,1,1,2,0,10
3334,1,0,1,0,0,1,2,1,1,1,0,8
3335,15,15,19,32,29,46,22,48,50,59,0,335
3336,30,34,42,50,61,98,36,68,83,111,1,614
3337,28,24,33,47,42,39,22,39,52,49,1,376
3338,38,34,43,60,57,66,40,57,86,100,3,584
3340,28,19,28,33,28,34,20,53,56,41,1,341
3341,2,3,2,3,2,2,1,3,0,4,0,22
3342,2,4,9,4,5,7,3,11,10,8,1,64
3345,5,2,3,3,3,1,1,0,2,6,0,26
